Data;Hour;Hs(m);Tp(s);Dir(N)
20071107;10:00;0.51;3.40;219.64
20071107;11:00;0.55;3.44;221.19
20071107;12:00;0.59;2.86;216.28
20071107;13:00;0.58;3.62;205.58
20071107;14:00;0.60;4.00;220.70
20071107;15:00;0.73;4.04;231.66
20071107;16:00;0.79;4.51;234.47
20071107;17:00;0.76;4.02;235.95
20071107;18:00;0.62;3.83;236.29
20071107;19:00;0.67;3.67;231.38
20071107;20:00;0.66;5.45;223.02
20071107;21:00;0.63;5.57;209.29
20071107;22:00;0.60;5.57;208.39
20071107;23:00;0.60;5.30;203.70
20071107;00:00;0.62;5.48;203.50
20071107;01:00;0.56;5.06;202.03
20071107;02:00;0.49;5.24;205.01
20071107;03:00;0.51;5.59;215.30
20071108;04:00;0.51;5.69;215.15
20071108;05:00;0.43;5.69;243.37
20071108;06:00;0.35;5.89;216.39
20071108;07:00;0.38;2.77;226.03
20071108;08:00;0.42;2.68;223.18
20071108;09:00;0.44;5.35;202.88
20071108;10:00;0.43;5.14;204.56
20071108;11:00;0.45;4.60;204.05
20071108;12:00;0.48;4.51;208.51
20071108;13:00;0.52;4.05;212.01
20071108;14:00;0.53;4.72;208.64
20071108;15:00;0.58;3.22;219.02
20071108;16:00;0.77;3.70;223.68
20071108;17:00;0.86;3.97;234.33
20071108;18:00;1.01;4.93;234.26
20071108;19:00;0.96;5.19;230.63
20071108;20:00;1.08;5.48;217.01
20071108;21:00;1.05;5.98;213.66
20071108;22:00;1.02;5.69;214.31
20071108;23:00;0.96;5.99;210.45
20071108;00:00;0.84;5.89;206.36
20071108;01:00;0.78;6.02;206.22
20071108;02:00;0.73;6.01;205.30
20071108;03:00;0.67;6.22;215.70
20071109;04:00;0.74;6.80;220.00
20071109;05:00;0.69;7.25;227.51
20071109;06:00;0.53;6.89;225.92
20071109;07:00;0.53;3.67;231.06
20071109;08:00;0.53;6.28;225.49
20071109;09:00;0.58;6.13;211.90
20071109;10:00;0.69;6.13;205.30
20071109;11:00;0.70;5.94;206.43
20071109;12:00;0.66;5.79;207.79
20071109;13:00;0.56;5.90;208.71
20071109;14:00;0.51;6.02;213.88
20071109;15:00;0.49;6.00;221.05
20071109;16:00;0.56;6.23;248.12
20071109;17:00;0.59;3.12;254.23
20071109;18:00;0.44;3.26;249.23
20071109;19:00;0.44;3.26;249.23
20071109;20:00;0.01;1.23;322.17
20071109;21:00;0.39;6.78;230.40
20071109;22:00;0.49;6.30;228.67
20071109;23:00;0.48;5.77;204.66
20071109;00:00;0.53;5.68;203.73
20071109;01:00;0.59;5.56;207.58
20071109;02:00;0.55;5.17;207.88
20071109;03:00;0.52;5.10;209.31
20071109;04:00;0.50;3.00;219.62
20071110;05:00;0.54;3.27;222.45
20071110;06:00;0.73;3.55;232.58
20071110;07:00;0.74;3.73;240.55
20071110;08:00;0.68;4.06;245.41
20071110;09:00;0.70;3.37;248.45
20071110;10:00;0.68;3.54;226.75
20071110;11:00;0.71;5.25;212.75
20071110;12:00;0.73;5.34;214.60
20071110;13:00;0.74;4.85;213.90
20071110;14:00;0.66;4.92;214.53
20071110;15:00;0.68;5.14;215.23
20071110;16:00;0.69;5.56;217.07
20071110;17:00;0.76;3.79;234.27
20071110;18:00;0.78;5.69;232.82
20071110;19:00;0.65;3.05;241.03
20071110;20:00;0.58;2.94;244.26
20071110;21:00;0.56;3.03;244.29
20071110;22:00;0.63;6.31;230.29
20071110;23:00;0.67;5.60;220.42
20071110;00:00;0.74;5.56;211.71
20071110;01:00;0.85;5.37;216.19
20071110;02:00;0.79;5.62;210.16
20071110;03:00;0.83;5.13;208.37
20071110;04:00;0.77;5.15;212.62
20071111;05:00;0.77;5.58;219.35
20071111;06:00;0.78;3.81;222.75
20071111;07:00;0.85;4.03;228.68
20071111;08:00;0.75;3.76;245.66
20071111;09:00;0.76;3.62;238.05
20071111;10:00;0.85;3.96;222.36
20071111;11:00;0.90;5.93;214.28
20071111;12:00;0.86;5.54;216.92
20071111;13:00;0.84;5.65;214.60
20071111;14:00;0.96;5.79;213.61
20071111;15:00;1.00;5.60;214.41
20071111;16:00;0.86;5.61;208.93
20071111;17:00;0.87;5.89;216.13
20071111;18:00;0.87;3.94;232.91
20071111;19:00;0.85;3.64;238.89
20071111;20:00;0.67;6.65;236.27
20071111;21:00;0.52;6.74;227.08
20071111;22:00;0.54;6.67;215.99
20071111;23:00;0.53;6.55;210.75
20071111;00:00;0.59;6.57;203.22
20071111;01:00;0.56;5.95;197.85
20071111;02:00;0.60;6.03;209.77
20071111;03:00;0.56;5.85;194.94
20071111;04:00;0.46;5.69;192.99
20071112;05:00;0.41;5.98;184.38
20071112;06:00;0.31;6.16;216.40
20071112;07:00;0.28;6.46;195.29
20071112;08:00;0.20;5.88;212.70
20071112;09:00;0.17;6.60;197.70
20071112;10:00;0.17;6.93;201.14
20071112;11:00;0.18;6.58;198.23
20071112;12:00;0.19;6.14;186.64
20071112;13:00;0.21;5.55;197.71
20071112;14:00;0.21;5.67;185.98
20071112;15:00;0.23;5.23;173.46
20071112;16:00;0.23;5.28;176.10
20071112;17:00;0.22;5.30;163.95
20071112;18:00;0.21;5.39;212.92
20071112;19:00;0.20;5.94;199.10
20071112;20:00;0.17;5.45;186.91
20071112;21:00;0.17;6.19;222.42
20071112;22:00;0.20;2.03;232.44
20071112;23:00;0.17;5.79;218.55
20071112;00:00;0.17;4.37;203.43
20071112;01:00;0.18;5.00;205.53
20071112;02:00;0.19;4.33;190.65
20071112;03:00;0.21;5.27;188.95
20071112;04:00;0.21;4.80;223.95
20071113;05:00;0.22;7.36;182.74
20071113;06:00;0.23;7.49;167.22
20071113;07:00;0.31;2.34;224.43
20071113;08:00;0.32;2.52;225.63
20071113;09:00;0.31;2.47;254.10
20071113;10:00;0.38;2.50;236.31
20071113;11:00;0.64;2.94;236.82
20071113;12:00;0.67;3.40;221.15
20071113;13:00;0.56;3.93;224.46
20071113;14:00;0.68;3.75;218.15
20071113;15:00;0.60;4.36;211.46
20071113;16:00;0.57;4.92;215.21
20071113;17:00;0.54;3.41;206.69
20071113;18:00;0.57;5.35;214.30
20071113;19:00;0.69;3.47;239.47
20071113;20:00;0.68;3.46;230.51
20071113;21:00;0.66;3.81;244.94
20071113;22:00;0.59;3.14;253.27
20071113;23:00;0.60;3.37;243.28
20071113;00:00;0.57;5.41;220.20
20071113;01:00;0.48;5.32;208.59
20071113;02:00;0.62;5.41;204.98
20071113;03:00;0.53;5.28;210.23
20071113;04:00;0.51;5.55;208.63
20071114;05:00;0.46;5.72;211.35
20071114;06:00;0.45;6.11;209.80
20071114;07:00;0.42;6.04;226.99
20071114;08:00;0.42;6.25;225.46
20071114;09:00;0.37;5.93;249.04
20071114;10:00;0.31;2.19;238.40
20071114;11:00;0.28;6.28;223.20
20071114;12:00;0.27;6.15;208.74
20071114;13:00;0.24;5.85;185.71
20071114;14:00;0.23;5.91;210.74
20071114;15:00;0.25;6.18;194.24
20071114;16:00;0.24;5.19;186.94
20071114;17:00;0.24;6.22;185.34
20071114;18:00;0.19;5.90;187.64
20071114;19:00;0.20;6.49;209.33
20071114;20:00;0.18;6.54;156.49
20071114;21:00;0.18;6.31;213.24
20071114;22:00;0.16;6.63;185.99
20071114;23:00;0.17;6.21;174.29
20071114;00:00;0.16;6.06;202.88
20071114;01:00;0.16;5.87;189.51
20071114;02:00;0.15;5.61;193.52
20071114;03:00;0.16;6.25;181.12
20071114;04:00;0.18;5.91;188.77
20071115;05:00;0.20;8.56;200.34
20071115;06:00;0.18;5.83;197.73
20071115;07:00;0.18;5.73;196.16
20071115;08:00;0.17;6.28;197.76
20071115;09:00;0.17;6.77;238.54
20071115;10:00;0.14;6.62;238.72
20071115;11:00;0.13;6.22;217.64
20071115;12:00;0.13;5.17;182.72
20071115;13:00;0.16;4.58;201.09
20071115;14:00;0.17;4.55;199.64
20071115;15:00;0.17;4.97;181.53
20071115;16:00;0.17;5.03;179.64
20071115;17:00;0.19;4.73;212.48
20071115;18:00;0.18;5.19;180.17
20071115;19:00;0.19;5.14;205.54
20071115;20:00;0.16;4.49;196.89
20071115;21:00;0.15;4.50;202.84
20071115;22:00;0.15;5.24;177.55
20071115;23:00;0.15;5.05;187.22
20071115;00:00;0.15;5.01;215.60
20071115;01:00;0.18;4.80;215.86
20071115;02:00;0.19;4.44;207.76
20071115;03:00;0.19;4.33;189.06
20071115;04:00;0.18;4.22;202.34
20071116;05:00;0.18;4.17;208.53
20071116;06:00;0.19;4.76;186.05
20071116;07:00;0.18;5.33;218.35
20071116;08:00;0.17;6.92;187.55
20071116;09:00;0.16;6.91;151.43
20071116;10:00;0.15;6.60;216.41
20071116;11:00;0.13;6.87;220.38
20071116;12:00;0.12;5.62;205.43
20071116;13:00;0.14;6.77;210.27
20071116;14:00;0.16;3.91;196.30
20071116;15:00;0.19;3.76;182.32
20071116;16:00;0.18;3.87;216.22
20071116;17:00;0.18;10.47;187.01
20071116;18:00;0.18;3.78;183.23
20071116;19:00;0.17;3.84;198.57
20071116;20:00;0.18;6.67;218.73
20071116;21:00;0.17;6.40;201.21
20071116;22:00;0.15;6.36;219.59
20071116;23:00;0.13;3.58;201.18
20071116;00:00;0.11;6.74;210.73
20071116;01:00;0.15;6.60;208.10
20071116;02:00;0.17;3.24;193.41
20071116;03:00;0.20;11.17;172.25
20071116;04:00;0.21;10.71;193.64
20071117;05:00;0.22;3.92;203.94
20071117;06:00;0.28;3.76;201.82
20071117;07:00;0.24;3.56;196.90
20071117;08:00;0.24;3.87;216.44
20071117;09:00;0.26;4.04;218.17
20071117;10:00;0.25;4.41;215.63
20071117;11:00;0.26;4.39;230.51
20071117;12:00;0.21;4.59;212.25
20071117;13:00;0.21;4.04;203.50
20071117;14:00;0.20;4.30;196.60
20071117;15:00;0.25;4.29;194.92
20071117;16:00;0.30;4.39;196.09
20071117;17:00;0.59;4.75;189.57
20071117;18:00;0.83;4.97;188.73
20071117;19:00;0.70;5.34;187.20
20071117;20:00;0.69;5.01;185.87
20071117;21:00;0.72;5.23;190.38
20071117;22:00;0.74;5.30;198.91
20071117;23:00;0.52;5.04;196.73
20071117;00:00;0.56;5.16;203.91
20071117;01:00;0.85;4.97;206.91
20071117;02:00;1.16;5.27;207.38
20071117;03:00;1.16;5.27;207.38
20071117;04:00;0.02;1.62;79.46
20071117;05:00;1.38;5.45;200.69
20071118;06:00;1.66;5.55;199.96
20071118;07:00;1.83;5.70;199.79
20071118;08:00;1.86;6.05;201.45
20071118;09:00;2.12;6.29;200.48
20071118;10:00;1.80;6.52;199.25
20071118;11:00;1.98;6.76;199.82
20071118;12:00;1.87;6.77;199.61
20071118;13:00;1.54;6.92;199.10
20071118;14:00;1.59;7.06;200.18
20071118;15:00;1.43;7.20;198.21
20071118;16:00;1.72;7.52;198.07
20071118;17:00;1.88;7.18;197.86
20071118;18:00;1.67;7.34;197.51
20071118;19:00;1.70;7.36;194.97
20071118;20:00;1.91;7.62;194.07
20071118;21:00;1.98;7.59;194.54
20071118;22:00;1.97;7.73;194.47
20071118;23:00;1.78;7.85;196.68
20071118;00:00;1.53;7.96;200.68
20071118;01:00;1.43;8.17;198.50
20071118;02:00;1.15;7.61;193.71
20071118;03:00;1.04;7.30;194.47
20071118;04:00;1.01;7.88;202.56
20071118;05:00;1.03;7.56;198.23
20071119;06:00;0.96;7.45;194.65
20071119;07:00;0.98;6.80;199.81
20071119;08:00;1.02;6.49;203.17
20071119;09:00;1.03;6.59;199.76
20071119;10:00;1.09;6.58;203.71
20071119;11:00;1.20;6.74;202.23
20071119;12:00;1.12;6.67;205.38
20071119;13:00;1.16;7.28;211.51
20071119;14:00;1.14;7.63;210.40
20071119;15:00;1.16;6.60;205.32
20071119;16:00;0.93;5.76;203.65
20071119;17:00;0.84;5.93;203.40
20071119;18:00;1.17;5.73;198.79
20071119;19:00;1.24;6.40;197.10
20071119;20:00;1.24;5.98;197.63
20071119;21:00;1.21;6.49;195.81
20071119;22:00;1.37;5.78;195.37
20071119;23:00;1.13;5.56;199.05
20071119;00:00;1.16;6.12;196.03
20071119;01:00;1.18;6.02;201.72
20071119;02:00;1.12;6.90;202.66
20071119;03:00;1.02;6.74;203.52
20071119;04:00;0.70;6.62;203.87
20071119;05:00;0.69;6.68;211.39
20071120;06:00;0.68;5.88;202.58
20071120;07:00;0.74;5.68;199.58
20071120;08:00;0.68;5.50;198.09
20071120;09:00;0.73;5.41;197.60
20071120;10:00;0.69;5.21;198.29
20071120;11:00;0.71;4.76;201.02
20071120;12:00;0.68;5.28;203.57
20071120;13:00;0.58;5.12;200.58
20071120;14:00;0.52;5.21;211.76
20071120;15:00;0.50;5.43;200.47
20071120;16:00;0.33;5.27;206.12
20071120;17:00;0.38;4.61;205.51
20071120;18:00;0.32;5.16;197.95
20071120;19:00;0.33;4.92;201.15
20071120;20:00;0.42;4.72;189.83
20071120;21:00;0.41;4.57;191.51
20071120;22:00;0.44;4.58;186.66
20071120;23:00;0.44;4.82;187.64
20071120;00:00;0.46;4.24;190.78
20071120;01:00;0.57;5.10;194.80
20071120;02:00;0.60;5.12;187.45
20071120;03:00;0.57;4.73;196.42
20071120;04:00;0.56;5.09;196.21
20071120;05:00;0.65;5.02;209.67
20071121;06:00;0.53;4.94;208.04
20071121;07:00;0.55;5.42;205.57
20071121;08:00;0.64;5.15;196.71
20071121;09:00;0.79;4.78;201.04
20071121;10:00;0.86;4.71;205.95
20071121;11:00;0.85;4.53;204.61
20071121;12:00;0.96;4.48;213.16
20071121;13:00;1.06;4.67;210.74
20071121;14:00;0.80;4.74;213.86
20071121;15:00;0.76;4.93;220.72
20071121;16:00;0.84;5.06;216.34
20071121;17:00;0.79;5.38;220.95
20071121;18:00;0.72;5.37;225.35
20071121;19:00;0.66;5.39;217.08
20071121;20:00;0.59;5.35;212.23
20071121;21:00;0.59;5.15;206.68
20071121;22:00;0.49;4.65;202.00
20071121;23:00;0.47;4.03;202.94
20071121;00:00;0.45;4.03;205.40
20071121;01:00;0.51;3.96;200.11
20071121;02:00;0.50;3.86;204.46
20071121;03:00;0.45;4.47;211.21
20071121;04:00;0.83;4.23;206.98
20071121;05:00;0.72;4.99;204.97
20071122;06:00;0.72;5.15;209.47
20071122;07:00;0.73;5.63;204.74
20071122;08:00;0.77;5.60;205.30
20071122;09:00;0.71;5.57;200.87
20071122;10:00;0.82;5.47;198.20
20071122;11:00;0.73;5.10;198.10
20071122;12:00;0.64;5.14;196.05
20071122;13:00;0.53;5.19;197.87
20071122;14:00;0.45;5.16;178.86
20071122;15:00;0.44;5.22;195.76
20071122;16:00;0.41;4.78;209.30
20071122;17:00;0.39;2.75;226.16
20071122;18:00;0.36;2.46;216.54
20071122;19:00;0.35;2.40;244.93
20071122;20:00;0.37;3.00;223.14
20071122;21:00;0.36;3.25;216.44
20071122;22:00;0.35;3.52;207.58
20071122;23:00;0.30;4.00;193.84
20071122;00:00;0.31;3.42;219.10
20071122;01:00;0.33;3.37;194.18
20071122;02:00;0.31;7.12;197.44
20071122;03:00;0.30;7.11;196.21
20071122;04:00;0.27;3.67;183.83
20071122;05:00;0.25;7.11;209.53
20071123;06:00;0.21;3.83;223.33
20071123;07:00;0.17;8.13;219.26
20071123;08:00;0.14;7.58;211.89
20071123;09:00;0.14;7.76;201.53
20071123;10:00;0.13;7.31;183.24
20071123;11:00;0.16;8.32;193.82
20071123;12:00;0.15;9.01;277.51
20071123;13:00;0.14;8.61;303.69
20071123;14:00;0.15;8.40;247.46
20071123;15:00;0.18;8.60;123.67
20071123;16:00;0.18;8.72;108.51
20071123;17:00;0.19;1.56;284.91
20071123;18:00;0.17;1.52;190.98
20071123;19:00;0.15;1.41;187.33
20071123;20:00;0.15;1.26;106.13
20071123;21:00;0.14;5.78;219.29
20071123;22:00;0.16;4.85;200.85
20071123;23:00;0.15;5.63;202.66
20071123;00:00;0.16;6.00;201.15
20071123;01:00;0.18;5.69;163.96
20071123;02:00;0.18;5.76;207.40
20071123;03:00;0.20;5.68;176.70
20071123;04:00;0.18;8.07;192.56
20071123;05:00;0.16;5.57;174.16
20071124;06:00;0.15;6.53;211.51
20071124;07:00;0.17;6.05;203.25
20071124;08:00;0.14;6.46;208.04
20071124;09:00;0.17;6.03;208.57
20071124;10:00;0.20;5.81;180.87
20071124;11:00;0.22;4.52;193.12
20071124;12:00;0.25;5.40;187.20
20071124;13:00;0.26;5.28;196.60
20071124;14:00;0.26;5.45;174.42
20071124;15:00;0.28;4.47;177.33
20071124;16:00;0.27;4.09;201.85
20071124;17:00;0.26;4.45;213.10
20071124;18:00;0.50;3.18;230.87
20071124;19:00;0.71;3.66;237.67
20071124;20:00;0.87;4.16;238.77
20071124;21:00;0.96;4.42;236.99
20071124;22:00;1.01;4.20;231.36
20071124;23:00;1.02;4.85;219.34
20071124;00:00;1.06;4.89;218.02
20071124;01:00;1.04;4.52;215.45
20071124;02:00;1.09;5.41;206.76
20071124;03:00;0.93;5.45;206.98
20071124;04:00;0.93;5.92;203.62
20071124;05:00;0.88;5.95;207.11
20071125;06:00;0.75;6.28;213.98
20071125;07:00;0.67;6.92;225.91
20071125;08:00;0.71;7.01;235.78
20071125;09:00;0.65;6.69;228.39
20071125;10:00;0.63;6.67;220.08
20071125;11:00;0.63;6.41;215.92
20071125;12:00;0.61;6.19;197.85
20071125;13:00;0.64;5.56;206.49
20071125;14:00;0.65;5.64;201.18
20071125;15:00;0.56;5.83;199.76
20071125;16:00;0.59;5.55;209.02
20071125;17:00;0.53;5.65;209.67
20071125;18:00;0.48;5.98;226.95
20071125;19:00;0.54;5.97;228.87
20071125;20:00;0.48;6.66;244.30
20071125;21:00;0.42;2.71;239.73
20071125;22:00;0.45;3.15;231.65
20071125;23:00;0.45;3.10;223.44
20071125;00:00;0.44;5.96;202.61
20071125;01:00;0.41;4.34;197.77
20071125;02:00;0.42;4.60;205.93
20071125;03:00;0.42;4.78;202.24
20071125;04:00;0.43;4.12;189.62
20071125;05:00;0.43;5.82;192.55
